epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.8979,2.74419,24.4542,0.98628,0,0,0,0,2.81058,16.8457,0.86246,0.00014,0.00014,0.00014
2,86.7146,2.95084,15.5895,0.90139,0.00095,0.28571,0.00045,4e-05,3.4678,14.3125,0.86228,0.00029406,0.00029406,0.00029406
3,130.921,3.09022,13.9603,0.89561,0,0,0,0,2.96919,13.2882,0.80061,0.000441784,0.000441784,0.000441784
4,177.86,3.37505,15.3608,0.83262,0,0,0,0,3.06853,14.8088,0.82371,0.000583172,0.000583172,0.000583172
5,221.585,2.99264,9.79767,0.84701,0.00048,0.14286,9e-05,2e-05,2.59018,11.9217,0.7835,0.000718224,0.000718224,0.000718224
6,265.34,2.95296,9.27108,0.77746,0,0,0,0,1.96081,11.5882,0.8141,0.00084694,0.00084694,0.00084694
7,310.737,2.88665,8.89949,0.82999,0.00048,0.14286,7e-05,2e-05,2.31182,9.96018,0.80533,0.00096932,0.00096932,0.00096932
8,353.592,3.19871,9.97591,0.81901,0.00048,0.14286,0.00011,6e-05,2.36793,9.3771,0.80168,0.00108536,0.00108536,0.00108536
9,396.421,3.16367,7.07084,0.82984,0.00143,0.42857,0.00262,0.00088,2.7087,8.95657,0.8693,0.00119507,0.00119507,0.00119507
10,438.861,2.79538,6.66368,0.80626,0.00095,0.28571,0.00422,0.00129,2.90519,9.45874,0.85228,0.00129844,0.00129844,0.00129844
11,481.367,3.06875,6.73906,0.82647,0.00095,0.28571,0.00042,0.00019,3.08211,8.80762,0.87651,0.00139548,0.00139548,0.00139548
12,523.678,2.68658,6.17815,0.84661,0.0019,0.57143,0.36969,0.09897,2.86186,7.54851,0.88482,0.00148618,0.00148618,0.00148618
13,566.293,2.80496,6.52427,0.83389,0.00258,0.57143,0.575,0.11818,2.73218,7.45652,0.8399,0.0015248,0.0015248,0.0015248
14,609.484,2.90841,6.43994,0.77438,0.96512,0.57143,0.575,0.17475,2.80783,6.42316,0.78634,0.0014852,0.0014852,0.0014852
15,653.158,3.00515,5.1776,0.78402,1,0.68934,0.715,0.27125,2.44731,5.42298,0.79859,0.0014456,0.0014456,0.0014456
16,695.627,2.81946,5.28562,0.80363,0.92018,0.71429,0.715,0.24133,2.37966,5.33749,0.79839,0.001406,0.001406,0.001406
17,738.399,3.00332,5.64786,0.84269,0.76266,0.42857,0.545,0.18504,2.72083,5.35159,0.79352,0.0013664,0.0013664,0.0013664
18,780.623,2.77428,5.16151,0.83469,0.35839,0.42857,0.20553,0.04655,3.0137,6.96984,0.82155,0.0013268,0.0013268,0.0013268
19,823.302,2.82392,4.30719,0.75752,0.97002,0.57143,0.67547,0.2859,2.05053,4.53235,0.79817,0.0012872,0.0012872,0.0012872
20,865.841,2.92582,4.22338,0.76517,0.95127,0.57143,0.675,0.32164,1.97931,4.09873,0.79988,0.0012476,0.0012476,0.0012476
21,909.527,2.67985,4.43814,0.78222,0.95413,0.57143,0.675,0.33364,2.46253,4.89792,0.8044,0.001208,0.001208,0.001208
22,952.617,2.55543,3.8417,0.78171,0.99243,0.71429,0.71547,0.26972,2.2143,4.61178,0.79274,0.0011684,0.0011684,0.0011684
23,995.261,2.57731,4.26937,0.77888,0.92723,0.71429,0.71983,0.29634,2.34426,3.97726,0.81168,0.0011288,0.0011288,0.0011288
24,1038.23,2.74538,3.61203,0.77592,0.97394,0.71429,0.71546,0.30109,2.4509,4.1095,0.81622,0.0010892,0.0010892,0.0010892
25,1081.23,2.4426,3.75929,0.77872,0.80656,0.71429,0.69167,0.29533,2.50725,4.19344,0.81267,0.0010496,0.0010496,0.0010496
26,1124.01,2.58602,3.54726,0.75434,0.96584,0.71429,0.715,0.2547,2.48757,3.97903,0.80558,0.00101,0.00101,0.00101
27,1167.78,2.51936,3.49909,0.74437,0.7651,0.57143,0.517,0.1609,3.0461,4.04528,0.83227,0.0009704,0.0009704,0.0009704
28,1212.16,2.48504,3.45477,0.79307,1,0.69047,0.715,0.22673,2.54704,5.01517,0.78562,0.0009308,0.0009308,0.0009308
29,1255.36,2.64164,3.25906,0.7841,0.92444,0.57143,0.57786,0.16131,2.5094,10.4508,0.78293,0.0008912,0.0008912,0.0008912
30,1298.34,2.76031,3.7934,0.79274,0.77729,0.57143,0.58875,0.14519,2.97546,4.80114,0.82339,0.0008516,0.0008516,0.0008516
31,1341.44,2.35065,3.02425,0.79096,0.90126,0.57143,0.60417,0.11153,3.40673,4.57978,0.87029,0.000812,0.000812,0.000812
32,1384.44,2.46736,3.61544,0.76462,0.82516,0.67926,0.69167,0.15559,3.11016,3.93332,0.84615,0.0007724,0.0007724,0.0007724
33,1427.4,2.3445,2.87406,0.76115,1,0.5571,0.645,0.1503,2.77725,3.64582,0.81563,0.0007328,0.0007328,0.0007328
34,1470.8,2.43927,3.08356,0.77796,1,0.5547,0.61618,0.2197,2.61608,3.49811,0.80351,0.0006932,0.0006932,0.0006932
35,1515.26,2.40122,2.67448,0.79758,0.96745,0.57143,0.63864,0.2238,2.81663,3.4264,0.81784,0.0006536,0.0006536,0.0006536
36,1557.9,2.63698,2.78395,0.7474,1,0.69266,0.715,0.2064,2.96896,3.55191,0.81271,0.000614,0.000614,0.000614
37,1600.54,2.56077,3.09749,0.75834,0.97795,0.71429,0.715,0.19854,2.91041,3.59491,0.80705,0.0005744,0.0005744,0.0005744
38,1643.32,2.50254,3.29622,0.76996,0.82149,0.71429,0.69167,0.23417,2.72151,3.32775,0.78946,0.0005348,0.0005348,0.0005348
39,1686.03,2.35313,2.56874,0.75251,0.8118,0.71429,0.71215,0.30522,2.50165,3.10829,0.76833,0.0004952,0.0004952,0.0004952
40,1732.75,2.31973,2.56522,0.7598,0.98671,0.71429,0.73367,0.30844,2.45744,3.07432,0.78265,0.0004556,0.0004556,0.0004556
41,1774.86,2.34958,3.10881,0.73855,0.98351,0.71429,0.71549,0.26217,2.61542,3.00507,0.79107,0.000416,0.000416,0.000416
42,1816.77,2.29133,2.89016,0.76436,0.98679,0.71429,0.71548,0.33498,2.36877,2.82493,0.79003,0.0003764,0.0003764,0.0003764
43,1859,2.17196,2.69625,0.79432,0.98847,0.71429,0.80833,0.38473,2.19477,2.73095,0.77944,0.0003368,0.0003368,0.0003368
44,1900.88,2.21429,2.79415,0.76271,0.9858,0.71429,0.71548,0.34488,2.28162,2.7251,0.78342,0.0002972,0.0002972,0.0002972
45,1942.57,2.16491,2.65274,0.7684,0.97801,0.71429,0.7155,0.33185,2.37217,2.7941,0.79074,0.0002576,0.0002576,0.0002576
46,1984.36,2.11989,2.60108,0.79635,0.97261,0.71429,0.71551,0.29152,2.50222,2.85945,0.79244,0.000218,0.000218,0.000218
